N°,Institucion,Departamento,Provincia,Distrito,Representante,Sector
72,Asociacion Civil Organismo No Gubernamental De Desarrollo Asistencia Social Integral Para Mejoras De Condicion De Vida - Asimcv,Lambayeque,Chiclayo,Pimentel,Chuquizuta Mendoza  Emerson,Mujer y Poblaciones Vulnerables/
73,Asociación Civil Organismo No Gubernamental de Desarrollo Oasis de Esperanza,Cajamarca,Chota,Chota,Osores Quispe  Manuel Absalon,Cultura/ Mujer y Poblaciones Vulnerables/Educación/
74,Asociacion Civil Organismo No Gubernamental En Desarrollo El Buen Sembrador,Cajamarca,Jaen,Jaen,Estela Huerta  Aquior,Mujer y Poblaciones Vulnerables/Agricultura y Riego/Economía y Finanzas/
75,Asociacion Civil Organizacion No Gubernamental Profesionales Manos Solidarias,Ica,Ica,Ica,Praeli Rojas  Carlos Manuel Edmundo,Educacion/Mujer y Desarrollo Social/
76,Asociacion Civil para el Desarrollo y Asistencia Humanitaria Amor en Acción,La Libertad,Trujillo,Trujillo,Artidoro Alvan Carranza  Cesar Atilio,Mujer y Desarrollo Social/
77,Asociacion Civil para el Fomento de la Educacion en el Perú,Ancash,Santa,Nuevo Chimbote,Arbulu Arbulu  Guillermo Ricardo,Mujer y Poblaciones Vulnerables/Educacion/
78,Asociacion Civil Paradigma,Lima,Lima,La Molina,Tataje Salas  Gustavo Hernan,Educación/Mujer y Desarrollo Social/
79,Asociacion Civil Por La Salud La Educacion Y El Trabajo Los Hijos Del Sol ,Lima,Lima,San Isidro,Ortiz Alvarado  Leonardo Miguel,Mujer y Desarrollo Social/
80,Asociacion Civil Promotora De Salud Social Prosalud-Calca,Cusco,Calca,Calca,Nuñez Del Prado Miranda  Guido Alfredo,Educación/Mujer y Desarrollo Social/Salud/Otros/
81,Asociacion Civil que Integran los Pueblos de La Cordillera Negra y Parte de la Cordillera Blanca de La Region Ancash Zona Sierra,Ancash,Huaraz,Huaraz,Diaz Asto  Segundo Antonio,Educación/Mujer y Desarrollo Social/Salud/
82,Asociación Civil Religiosa Amazon Medical Missions,Loreto,Maynas,San Juan Bautista,Dempsey  Michael James,Educacion/Salud/Otros/
83,Asociación Civil Religiosa Diospi Suyana,Apurimac,Abancay,Curahuasi,Dieter John  Klaus,Educacion/Salud/
84,Asociación Civil Santa Ana,Lambayeque,Chiclayo,Jose Leonardo Ortiz,Salas Montenegro  Juan Victor,Educacion/Mujer y Desarrollo Social/
85,Asociación Civil Santa Teresa - Abancay,Apurimac,Abancay,Abancay,Vidal Zapatero  Cristina,Mujer y Poblaciones Vulnerables/
86,Asociación Civil Servicios Generales Madre De Cristo,La Libertad,Trujillo,La Esperanza,Pajuelo Ureña  Rosalinda,Mujer y Desarrollo Social/Salud/
87,Asociación Civil Trabajando por los Pobres del Perú,Lima,Lima,Santiago De Surco,Rojas Vasquez  Leandro Victor,Mujer y Desarrollo Social/
88,Asociación Civil Villa Milagro,Cajamarca,Cajamarca,Cajamarca,Jean Johnson  Larry,Educacion/Mujer y Desarrollo Social/
89,Asociación Civil y Religiosa Iglesia Catolica Apostolica Renovada En Perú (Icarpe),Lima,Lima,Pueblo Libre,Iriarte Blas  Juan Ernesto,Mujer y Desarrollo Social/
90,Asociación Comunidad Cristiana de Arequipa,Arequipa,Arequipa,Arequipa,Santos Paxi  Daniel Nicanor,Educación/Mujer y Desarrollo Social/
91,Asociación Comunión Promoción Desarrollo y Liberación Coprodeli,Lima,Callao,Callao,Ranera Sanchez-Pardo  Miguel,Educación/Salud/
92,Asociación Congregación Sociedad Misionera de San Pablo - Arequipa,Arequipa,Arequipa,Cayma,Cefai  Giovanni,Educación/
93,Asociación Corporación Asaf,Lima,Lima,Magdalena Del Mar,Vicente Medina  Pilar  Maritza,Educación/Mujer y Desarrollo Social/Salud/
94,Asociación Creando Sueños,Lima,Lima,Barranco,Diminich Paredes  Ana Paola,Mujer y Poblaciones Vulnerables/Educación/
95,Asociación Cristiana Amparo,Lima,Lima,Chaclacayo,Davila Chocano  Mario Alberto Carlos,Mujer y Poblaciones Vulnerables/
96,Asociación Cristiana de Cooperación Humanitaria Buenas Nuevas,Lima,Lima,Los Olivos,Padilla Romero  Javier Rommel,Mujer y Desarrollo Social/Salud/
97,Asociación Cristiana Erkhetai,Ica,Pisco,Tupac Amaru Inca,Villaverde De La Cruz  Diano Teófilo,Educación/Mujer Y Desarrollo Social/Trabajo y Promoción Social/PCM/
98,Asociación Cristiana Evangelica para el Desarrollo,Lima,Lima,Santiago De Surco,Alarcon Alarcon  Ernesto,Educación/Mujer y Desarrollo Social/Salud/
,,,,,Choquehuanca Chinguel  Maria Teresa,
99,Asociación Cristiana Iglesia de Dios,Piura,Talara,Pariñas,Vilchez Ramirez  Jorge,Mujer y Desarrollo Social/
100,Asociación Cristiana Misionera Vida Nueva,Lima,Lima,Rimac,Vega Condezo  Daniel,Educacion/Mujer y Desarrollo Social/Salud/
101,Asociación Cristiana Peruanos En Accion,Lima,Callao,Callao,Serquen Benites  Ricardo Manuel,Mujer y Poblaciones Vulnerables/
102,Asociación Cristiana Restaurando Vidas en la Amazonía,Loreto,Maynas,Punchana,Videira Reategui  Marie Jackeline,Mujer Y Poblaciones Vulnerables/
103,Asociación Cristiania                                                                                                   ,Lima,Lima,Chorrillos,Soto Gonzales De Montoya  Maria Haydee,Educación/
104,Asociación Cultural Bethel,Lima,Lima,La Victoria,Espejo Luna Victoria  Juan Andres,Educación/Salud/
,,,,,Gonzalez Cruz  Rodolfo,
105,Asociacioó Cultural Deportivo Club Atletico Pachacutec,Lima,Lima,San Isidro,Ortiz Alvarado  Leonardo Miguel,Educación/Mujer y Desarrollo Social/
106,Asociación Cultural Entidades Latinoamericanas Comunicando el Evangelio,Lima,Lima,Lima,Vega Jara  Marta Nieves,Educación/
107,Asociación Cultural Johannes Gutenberg                                                                                  ,Lima,Lima,El Agustino,Poganatz Wuster  Dirk,Educación/Mujer y Desarrollo Social/Salud/
108,Asociación Cultural para Ayudar a la Niñez - Pan,Lima,Lima,La Molina,Amable Lazon  Alfredo Eduardo,Educación/
109,Asociación Cultural Radiodifusora y Televisión Nuevo Tiempo,Lima,Lima,Chaclacayo,Alvarez Turpo  Kleber Eliezer,Educación/
110,Asociación Cultural sin Fines de Lucro Qantu,Cusco,Cusco,Cusco,Canelo Marcet  Flor De Maria Martina,Cultura/Educación/
111,Asociación Cuna Amistad Peruano-Francesa,Arequipa,Arequipa,Arequipa,Seijas Bejarano  Maria Luz,Mujer y Poblaciones Vulnerables/
112,Asociación Db Perú,Lima,Lima,Miraflores,Darleen Diane  Bowie,Educacion/Mujer Y Desarrollo Social/Salud/
113,Asociación de Apoyo en el Desarrollo Integral del Niño,Lima,Lima,Chorrillos,Quiñones Bolo  Sandra,Mujer y Poblaciones Vulnerables/Salud/
114,Asociación de Apoyo Social Redondos,Lima,Huaura,Huacho,Arnillas Denegri  Carlos Emilio,Educacion/Mujer y Desarrollo Social/Salud/
115,Asociación de Apoyo y Promoción del Excepcional Yancana Huasy,Lima,Lima,San Juan De Lurigancho,Patron Quispe  Jose Antonio,Educación/
,,,,,Colgan Joaquim  Arthur Joseph,
116,Asociación de Ayuda al Niño Quemado ,Lima,Lima,Jesus Maria,Rodriguez Vilca  Victor Raul,Educacion/Mujer y Desarrollo Social/Salud/
