N°,Institucion,Departamento,Provincia,Distrito,Representante,Sector
542,Misión de Dios Dirigida hacia las Mujeres y Niños,Lima,Lima,Independencia,Rios Suarez  Maria Elena,Educacion/Mujer y Desarrollo Social/Salud/
543,Mision del Sinodo Evangelico Luterano en el Perú,Lima,Lima,Lima,Haeuser  David Edwin,Mujer y Desarrollo Social/
544,Mision Evangelica Cristo para Todos,Loreto,Maynas,Iquitos,Yong Quina  Alfredo,Educación/Mujer y Desarrollo Social/Salud/Otros/
545,Mision Evangelica del Principe de Paz,Lima,Lima,Comas,Carpio Anco  Richard,Mujer y Poblaciones Vulnerables/
546,Misión Evangélica Pentecostal Independiente,Loreto,Maynas,Punchana,Romero Ahuite  Italo,Educación/
547,Misión Evangélica Pentecostes Casa de Oración,Lima,Callao,Ventanilla,Duran Godoy  Ysac,Mujer y Desarrollo Social/
548,Mision Padre Hijo y Espiritu Santo,Lima,Lima,Chorrillos,Alvarado Risco  Luis Alberto,Mujer y Poblaciones Vulnerables/
,,,,,Matos Levano  Marcos Julio,
549,Mision Peruana a Toda Criatura,Lima,Lima,Lince,Loyola Rios  Oscar Zenobio,Mujer y Desarrollo Social/Salud/
550,Misión Seminario Teológico Evangélico Presbiteriano del Perú,Lima,Lima,Lince,Sung Park  Eun,Mujer y Desarrollo Social/
,,,,,Soo Kim  Myung,
551,Mision Suiza en el Perú                                                                                           ,Ucayali,Coronel Portillo,Yarinacocha,Hanselmann  Richard,Educacion/
,,,,,Friedli Siegfried  Adrian,
552,Misioneras de Acción Social,Arequipa,Arequipa,Paucarpata,Ortiz Guillen  Amelia,Educacion/Mujer y Desarrollo Social/
553,Misioneros Combonianos del Corazón de Jesús                                                                             ,Lima,Lima,Santiago De Surco,Barrera Pacheco  Luis Alberto,Educacion/Mujer y Desarrollo Social/
554,Misiones del Agua Perú,Loreto,Maynas,San Juan Bautista,Simon Aponte  Juan Antonio,Vivienda Construcción y Saneamiento/
555,Misiones Medicas Internacionales Iford,Lima,Lima,Miraflores,Melt Campos  Victor Yosef,Salud/
556,Movimiento Apostolico de Laicos Ccrisma,Lima,Lima,San Miguel,Melgarejo Vergara  Julio Cesar,Educacion/Mujer y Desarrollo Social/
557,Movimiento Evangelistico Misionero,Lima,Lima,Lima,Angulo Vallejos  Justo Jesus,Educacion/Mujer y Desarrollo Social/Salud/
558,Niños Sordos de Las Américas,Lima,Lima,Lince,Cabrejos Del Castillo  Tatiana,Mujer y Poblaciones Vulnerables/
559,Nuestros Pequeños Hermanos-Perú,Lima,Cañete,San Vicente De Cañete,Venegas Lopez  Miguel Angel,Mujer y Desarrollo Social/
560,O.N.G. Amigos Unidos de Manchay,Lima,Lima,Pachacamac,Javier Añazco  Jorge,Mujer y Poblaciones Vulnerables/
561,O.N.G. Asociación para el Desarrollo de la Infraestructura Educativa en La Provincia de Jaen,Cajamarca,Jaen,Jaen,Guevara Lopez  Lesly Aracely,Educacion/Mujer Y Desarrollo Social/Salud/
562,O.N.G. Esperanza y Sonrisas,Lima,Lima,Comas,Apian Martinez  Orlando Saturnino,Educacion/
563,Oberle Perú Ayuda que da Vida,Lima,Lima,La Molina,Salas Dominguez  Sonia,Mujer y Desarrollo Social/
564,Oli Perú,Lima,Lima,San Isidro,Montagne Ucovich  Katja,Educacion/Salud/
565,Olive Branch Ministries Of Peru,Lima,Callao,Bellavista,Mesa Carbone  Juan Manuel,Mujer y Poblaciones Vulnerables/
,,,,,Martinez Guevara  Carlos Alberto,
566,ONG Amor de Madre,Lima,Callao,Callao,Alva De Caro  Rosa Elvira,Salud/Otros/
567,ONG Asociación Pro Desarrollo Perú - Vida,Lima,Lima,San Borja,Gomez Merino  Percy Javier,Educacion/Mujer y Desarrollo Social/
568,ONG Compartiendo Mundo Perú,Lima,Lima,Independencia,Zavala Bustos  Olga Janet,Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/
569,ONG el Buen Samaritano de San Juan de Miraflores - Ebssjm,Lima,Lima,Miraflores,Rodas Gutierrez  Willy Julian,Mujer y Poblaciones Vulnerables/
570,ONG Escuela de Futbol Amateur de San Juan de Lurigancho,Lima,Lima,San Juan De Lurigancho,Guarniz Tafur  Segundo Aparicio,Educacion/Salud/
571,Ong Esfuerzo y Desarrollo,Lima,Lima,Los Olivos,Purhuaya Condo  Julio Martin,Mujer Y Desarrollo Social/Salud/
572,Ong Khuska Centro de Apoyo Social y Ambiental,Lima,Lima,San Miguel,Almerco Hilario  Pamela Milagros,Cultura/Educacion/
573,ONG Kipkakiña Ayllu,Lima,Lima,San Borja,Rojas Carpena  Luis Enrique,Mujer  y Poblaciones Vulnerables/Desarrollo E Inclusión Social/
574,ONG Manos Fuertes,Lima,Lima,Miraflores,Vicente Medina  Pilar Maritza,Educacion/Mujer y Desarrollo Social/Salud/
,,,,,Colon  Julio Luis,
575,ONG Manos Solidarias - Perú,Lima,Lima,San Martín de Porres,Caruzo Alejo  Nila,Mujer y Poblaciones Vulnerables/
576,ONG Renovador Impulso,Lima,Lima,San Juan De Lurigancho,Galvez Yangali  Ludgarda Lucinda,Mujer y Desarrollo Social/
577,ONG Rincón de Luz,Lima,Lima,Chorrillos,Quiñones Tomasto  Vansessa Elena,Mujer y Poblaciones Vulnerables/
578,ONG Salvamento Auxilio Rescate Perú 127,Lima,Lima,San Juan de Lurigancho,Perez Sebastian  Wilson Javier,Mujer y Desarrollo Social/Presidencia Del Consejo De Ministros/
579,ONG Somos más que vencedores en Cristo Jesús ,Lima,Lima,La Molina,Olivas Ovalle  Jhonny,Educacion/Salud/Vivienda y Construcción/
580,ONG Todo Por Ustedes,Lima,Lima,San Borja,Salinas Lopez  Franco,Mujer y Desarrollo Social/
581,ONG-Redes de Cooperación para el Desarrollo,Lima,Lima,La Victoria,Lopez Chumbipuma  Felix Gaudencio,Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/
582,ONG. Caritas Bienaventurados Del Peru,Lima,Lima,Santiago de Surco,Pasache Napa  Yhonny Nolbert,Mujer y Poblaciones Vulnerables/
583,ONG. Hawka Pacha,Lima,Lima,La Molina,Mayta Alecchi  Renato Antonio,Cultura/ Mujer y Poblaciones Vulnerables/
584,ONGD Corazones Milagrenses,La Libertad,Trujillo,Trujillo,Ulloa De La Cruz  Zara Teofila,Educacion/Mujer y Desarrollo Social/Salud/
585,ONGD por la Discapacidad en el Perú,Lima,Lima,La Molina,Urtecho Medina  Miluska Saribell,Educacion/Mujer y Desarrollo Social/Salud/
586,ONGD Tierra Nuestra-Perú,Lima,Lima,San Isidro,Gutierrez Muñoz  Jorge Alberto, Mujer y Poblaciones Vulnerables/Educacion/
587,ONGD Trascender Peru,Lima,Lima,San Isidro,Galvez Llanos  Jose Antonio,Mujer y Poblaciones Vulnerables/Educacion /Salud/
588,ONGD Vidas Dignas-Peru,Lima,Lima,Santiago De Surco,Rodriguez Soto  Roger Augusto,Mujer y Poblaciones Vulnerables/Educacion/
589,ONGD Almas Caritativas,Lima,Lima,Lurigancho,Arias Icho  Hector John,Mujer y Poblaciones Vulnerables/
590,ONGD Edgardo Merino H2o,Lima,Lima,Miraflores,Merino Helguero  Edgardo, Mujer Y Poblaciones Vulnerables/Educacion/
591,ONGD. Los Niños Alegres del Perú,Lima,Lima,La Victoria,Cisneros Morillo  Jaime Alfredo,Mujer y Poblaciones Vulnerables/
592,ONGD. Por Los Niños Y Su Educacion - Peru,Lima,Lima,San Miguel,Veliz De La Barrera  Gina Vanessa,Mujer y Poblaciones Vulnerables/
593,ONGD. Siempre a tu Lado - Perú,Lima,Lima,San Miguel,Tobaru Hirakawa  Jessika Beatriz,Mujer y Poblaciones Vulnerables/
594,ONGD. Sonrisas del Futuro - Perú,Lima,Lima,Los Olivos,Cortes Vasquez  Luis Alberto,Mujer y Poblaciones Vulnerables/
595,Operación Bendición Internacional Perú,Lima,Lima,Santiago De Surco,Arbaiza Canedo  Sandra Patricia,Educación/Mujer y Desarrollo Social/Salud/
596,Orden de Los Carmelitas en el Perú,Lima,Lima,Miraflores,Bacigalupo Del Corral  Miguel Alberto Mariano,Educacion/Mujer y Desarrollo Social/Salud/Otros/
597,Orden De Los Frailes Menores Capuchinos De San Francisco,Lima,Lima,Santiago De Surco,Alarcon Gomez  Jose Antonio,Mujer y Desarrollo Social/Otros/
,,,,,Cateriano Villasante  Hugo Gonzalo,
598,Orden De San Agustin: Provincia De Nuestra Señora De Gracia Del Peru,Lima,Lima,San Isidro,Lam Alania  Alexander Leoncio,Educación/
599,Orden Hospitalaria de San Juan de Dios,Lima,Lima,San Luis,Acuña Zamora  Felix,Mujer y Desarrollo Social/
600,Organismo No Gubernamental de Desarrollo Elite ,Huánuco,Huanuco,Amarilis,Pulgar Lucas  Enrique Orlando,Agricultura/Educacion/Industria/Turismo/Mujer y Desarrollo Social/Trabajo y Promocion Social/
601,Organismo No Gubernamental de Desarrollo Health Care And The Environment,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,Tito Marron  Jorge Luis,Salud/Vivienda Construcción y Saneamiento/
602,Organismo No Gubernamental Firemen & Health Hope,Lima,Lima,Santiago De Surco,Tuñoque Sandoval  Maria Florencia,Educacion/Salud/PCM/
603,Organismo No Gubernamental Firemen Working For You,Lima,Lima,Miraflores,Torres Fernandez  Jesus Zelmir,Mujer y Desarrollo Social/Salud/
604,Organismo No Gubernamental Para El Desarrollo En La Extrema Pobreza Nacional Los Chankas Perú,Apurimac,Andahuaylas,Andahuaylas,Flores Ortiz  Carlos Vladimir,Educacion/Turismo/Produccion/Mujer y Desarrollo Social/
605,Organizacion De Lucha Contra La Ceguera,Arequipa,Arequipa,Arequipa,Gonzalo Salas Villanueva  Giovanni Victor,Salud/
606,Organizacion Distrital De Los Comites Del Vaso De Leche De Santa Rosa,Lima,Lima,Santa Rosa,Echevarria Da Pena De Perez  Hilda,MujeryY Desarrollo Social/Salud/Otros/
607,Organización Filarmónica de Orquestas Juveniles e Infantiles del Perú - Organización Filarmónica,Lima,Lima,Lima,Arroyo Torres  Lila Milagros,Educacion/
608,Organizacion Internacional De Desarrollo,Lima,Lima,Lima,Salazar Olivares  Jacinto Vicente,Mujer Y Desarrollo Social/Salud/
609,Organizacion No Gubernamental Asociacion En Defensa De Los Derechos Del Consumidor San Francisco,Arequipa,Arequipa,Arequipa,Cardenas Quiroz  Federico Jorge,Mujer y Poblaciones Vulnerables/
610,Organizacion No Gubernamental De Desarrollo Peru Futbol,Lima,Lima,San Isidro,Puga Pomareda  Juan Jose,Educacion/Mujer y Desarrollo Social/
611,Organizacion No Gubernamental De Desarrollo Centro Cristiano De Accion Y Promocion Social,Cajamarca,Jaen,Jaen,Rojas Tantalean  Manuel Eleuterio,Educacion/Mujer y Desarrollo Social/Salud/Trabajo Y Promocion Social/Otros/
612,Organizacion No Gubernamental De Desarrollo Personas Vulnerables Leon De Juda,La Libertad,Trujillo,Trujillo,Ballesteros Meza  Gustavo Antonio,Educacion/Mujer y Desarrollo Social/Salud/
613,Organizacion No Gubernamental Para El Desarrollo Equitativo Y Sostenido Para America Latina O.N.G. D-E-S-A,Lima,Lima,San Juan De Miraflores,Carhuas Tineo  Raul Jose,Mujer y Poblaciones Vulnerables/Educacion/
614,Partido Aprista Peruano,Lima,Lima,Breña,Quezada Martinez  Werner Omar.,Educación/Mujer y Desarrollo Social/
615,Patronato De La Casa Del Adulto Mayor Francisca Navarrete De Carranza,Lima,Huaura,Huacho,Arellano Susano  Werchimans,Salud/PCM/
616,People Of Peru Project,Loreto,Maynas,San Juan Bautista,Bocanegra Gonzales  Julio David,Mujer y Desarrollo Social/Salud/
617,Peru Mission - Christian Missionary Society,La Libertad,Trujillo,Victor Larco Herrera,Avellaneda Fernandez  Jaime Ricardo,Educación/
618,Peruvian-American Medical Society Para El Peru ,Lima,Lima,San Isidro,Miranda Valencia  Oscar Jesus,Educacion/Mujer y Desarrollo Social/Salud/
619,Plataforma Redgam's Peru,Lima,Lima,Ate,Palomino Galarza  Zoila Aurora,Educacion/Mujer y Desarrollo Social/
620,Pro Espiritu Santo,Arequipa,Arequipa,Alto Selva Alegre,Bernal Szkuta  Jose Victor,Educacion/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Otros/
621,Programa De Apoyo Nutricional Basado En Soya (Pan-Soy),Lima,Lima,Miraflores,Ciudad Reynaud  Manuel Antonio,Mujer y Desarrollo Social/Salud/
622,Programa De Capacitacion Para Jovenes Sechuranos Buscando Un Futuro Mejor,Piura,Sechura,Sechura,Fiestas Curo  Jose Feliciano,Educacion/Mujer y Desarrollo Social/Salud/
623,Programa De Educacion Basica Laboral La Inmaculada,Lima,Lima,San Juan De Miraflores,Montes Lopez  Ofelia Isidora,Educacion/Mujer y Desarrollo Social/Salud/
624,Project Peru (Proyecto Peru),Lima,Lima,Puente Piedra,Alza Gomez  Karina Graciela,Educación/MujeryY Desarrollo Social/Salud/
625,Promocion Para El Desarrollo Integral Peru,Lima,Lima,San Miguel,Huaman Ascarza  Roxana Milagros,Mujer y Poblaciones Vulnerables/Educación/
626,Proteccion Civil Internacional,Lima,Lima,San Juan De Miraflores,Caceres Chacon  Juan Alberto,Mujer y Desarrollo Social/
627,Proyecto Amigo,Lima,Lima,Jesus Maria,Vidori  Mario,Educación/
628,Proyecto Arahuaca,Lima,Lima,Jesus Maria,Alamo Lopez  Juan Carlos,Educación/
629,Proyecto Familia Y Agroecologia ,Moquegua,Mariscal Nieto,Samegua,Aranda Juarez  Maria Rosa,Salud/
630,Proyecto Vida Mundial,Lima,Callao,Ventanilla,Ortiz Carhuapoma  Jhon Anderson,Mujer y Desarrollo Social/Salud/
631,Quechua Benefit,Arequipa,Arequipa,Arequipa,Tejeda Barzola  Mario Alejandro,Educacion/Mujer y Desarrollo Social/Salud/
632,Rainforest Ecoversity Center,Ucayali,Coronel Portillo,Yarinacocha,Cabrera Gongora  Limber,Educacion/Mujer y Desarrollo Social/Salud/
633,Reach Empower Advance Partnership Latin America,Lima,Huaura,Huacho,Ayala Perez  Manuel Erick,Mujer y Poblaciones Vulnerables/
634,Real Medicine Foundation Peru,Ica,Pisco,San Clemente,Mancini De Pujalt  Magali Natalia,Salud/
635,Red De Ayuda Humanitaria Internacional,Lima,Lima,Ate,Luiz Casavechi  Fernando,Educacion/Mujer y Desarrollo Social/Salud/
636,Redes Solidarias,Lima,Lima,La Victoria,Pulido Castillo  Juan Guillermo,Educacion/Mujer y Desarrollo Social/Salud/
637,Religiosas Del Sagrado Corazon De Jesus - Provincia Del Peru,Lima,Lima,Chorrillos,Durand Pardo  Carmen Elisa,Educación/
638,Remar Rehabilitacion De Marginados,Lima,Lima,Lima,Martin Goicoechea  Valeriano,Educacion/Mujer y Desarrollo Social/
639,Renovando Spacios Construyendo Nuevas Sociedades,Lima,Lima,Ate,Bedregal Utrilla  Oscar Junior,Educacion/Salud/
640,Respuestas En Genesis,Lima,Lima,La Molina,Aneurin Ramdath  Creous,Educacion/
641,Right To Play International,Lima,Lima,San Isidro,Sipan Castro  Doris Leslie,Educacion/Mujer Y Desarrollo Social/Salud/
642,Rotary Club De Iquitos,Loreto,Maynas,Iquitos,Vigo Silva  Violeta Del Carmen,Mujer y Desarrollo Social/
643,Rotary Club De San Isidro,Lima,Lima,Santiago De Surco,Ruiz Tello  Augusto,Mujer y Desarrollo Social/
644,Rotary Club El Rimac                                                                                                    ,Lima,Lima,Rimac,Toratto Fernandez  Marco Antonio,Mujer y Poblaciones Vulnerables/
645,Rotary Club La Molina Vieja,Lima,Lima,La Molina,Flores Vasquez  David Nicolas,Mujer y Desarrollo Social/Salud/
646,Rotary Club Lima Siglo XXI,Lima,Lima,San Borja,Olschewski De Saettone  Ana Maria,Trabajo y Promocion Social/
647,Rotary Club San Isidro Este,Lima,Lima,La Victoria,Huaylinos Maravi  Luis Alberto,Cultura/ Mujer y Poblaciones Vulnerables/Educacion/ Salud/
648,Runa Yachachik,Lima,Lima,Pueblo Libre,Asencio Ramirez  Patricia Elizabeht,Mujer y Desarrollo Social/Salud/
649,Samusocial Perú,Lima,Lima,Pueblo Libre,Raymonde Louviot  Catherine,Trabajo y Promocion Social/PCM/Otros/
,,,,,Seigneurie  Agnes Friant,
650,San Francisco de Asis,Lima,Lima,Chaclacayo,Lazzara Capello  Anthony,Educacion/Salud/
651,Santa Bernardita       ,Lima,Lima,San Martin De Porres,Cornelius Coney  Anthony,Mujer y Poblaciones Vulnerables/Educación/
652,Seamos Perú,Lima,Lima,San Juan De Miraflores,Nuñez Ricapa  Robert Martin,Mujer y Poblaciones Vulnerables/
653,Selva Esperanza-Peru,Loreto,Maynas,Iquitos,Del Aguila Pinedo  Rosa Valeria,Mujer y Poblaciones Vulnerables/Educacion/
654,Senzaconfini Onlus,Huánuco,Huanuco,Huanuco,Mendoza Dominguez  Wilgen  Lorenzo,Mujer y Desarrollo Social/Salud/
655,Servicios Sociales Solidarios Abate Pierre,Lima,Lima,Villa Maria Del Triunfo,Ponce Pardo  Lenin Leonel,Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/
656,Sinodo Evangelico Luterano del Perú,Lima,Lima,Lima,Robles Rojas  Andres,Mujer y Desarrollo Social/
657,Sirviendo-Logrando Paz,Arequipa,Arequipa,Cayma,Busuttil  Alexander,Educación/Salud/
658,Sistema de Salud Verbo Encarnado,Ancash,Santa,Chimbote,Gomez Barrenechea  Lourdes Jesus,Mujer y Poblaciones Vulnerables/Educación/
,,,,,Hidalgo Vega  Julia Mercedes,
659,Sociedad Central de Beneficiencia China Ton Huy Chong Koc,Lima,Lima,Lima,Nong Shun  Lian Luo,Cultura/ Mujer y Poblaciones Vulnerables/
660,Sociedad de San Vicente De Paul                                                                                            ,Lima,Lima,Surquillo,Huaman Gutierrez  Efrain,Mujer y Poblaciones Vulnerables/
661,Sociedad Peruana De La Cruz Roja / Cruz Roja Peruana,Lima,Lima,Lima,Garcia Roca  Maria Josefina,Mujer y Desarrollo Social/Salud/
662,Socios en Salud Sucursal Perú,Lima,Lima,Lince,Lecca Garcia  Leonid Wilbert,Salud/
,,,,,Tamaki Kiyan  Jorge Antonio,
663,Solidaridad en Marcha                                                                                                   ,Lima,Lima,Barranco,Ambrozic Velezmoro  Jose,Agricultura/Educación/Mujer y Desarrollo Social/Salud/
664,Solidaridad y Esperanza Anna Margottini,Lima,Lima,Ate,Favero Miotti  Goretta,Educacióon/Mujer y Desarrollo Social/Salud/
665,Sonccollay Perú Corazoncito Perú,Lima,Lima,Lurigancho,Meza Huamancayo  Patricia Milagro,Educacion/Mujer y Desarrollo Social/Salud/
666,South America Mission Inc. (Filial Del Perú)                                                                            ,Ucayali,Coronel Portillo,Calleria,Simmons  David,Educación/Mujer y Desarrollo Social/Salud/
667,Stewardship Sinergia,La Libertad,Trujillo,La Esperanza,Cosavalente Fernandez  Ivan Ernesto,Mujer y Desarrollo Social/
668,Su Refugio Perú,Lima,Lima,La Molina,Orescu  Constantin Valentin,Mujer y Poblaciones Vulnerables/
669,Tambo de la Amistad,Cusco,Cusco,Cusco,Villegas Rodriguez  Susy Margarita,Mujer y Poblaciones Vulnerables/
670,The Gideons International In Perú,Lima,Lima,San Borja,Rojas Chavez  Reynaldo,Educación/
671,The Hope Alliance,Lima,Lima,San Martin De Porres,Olivera Escudero  Rosario Ysabel,Mujer y Desarrollo Social/
672,The Potter's Hand-Sirviendo A Niños Y Ancianos Del Peru,Lima,Lima,Santiago De Surco,Benson  Taylor James,Mujery Desarrollo Social/Salud/
673,Tierra De Niñ@S,Lima,Lima,Lince,Aviles Silva  Percy Benjamin,Educación/Mujer y Desarrollo Social/Salud/Vivienda y Construcción/
674,Tierra y Ser,Lima,Lima,Santiago De Surco,Schaefer Cuculiza  Lilian Erika Elia,Educación/Mujer y Desarrollo Social/Salud/
675,Trabajando para el Desarrollo de Cotabambas,Lima,Lima,Lurigancho,Salgueron Mendoza  Leonardo,Mujer y Desarrollo Social/
676,Traperia Emaus Arequipa,Lima,Lima,Chorrillos,Pinto Ludeña  Jaime,Mujer y Poblaciones Vulnerables/
677,Traperia Emaus Corazones Unidos,Lima,Lima,San Luis,Roldan Herrera  Jose,Mujer y Poblaciones Vulnerables/
678,Traperos de Emaus,Lima,Lima,Chorrillos,Conde Cartagena  Daniel Ignacio,PCM/ Mujer y Poblaciones Vulnerables/
679,Traperos de Emaus San Juan de Lurigancho,Lima,Lima,San Juan De Lurigancho,Antonio Mendoza  Juan Carlos,Mujer y Poblaciones Vulnerables/
680,Traperos de Emaus sede Principal,Lima,Lima,Chorrillos,Salazar Menor  Moises,Mujer y Poblaciones Vulnerables/
681,Traperos de Emaus Villa El Salvador,Lima,Lima,Villa El Salvador,Rojas Rivera  Jose Luis,Mujer y Desarrollo Social/Salud/
682,Un Futuro Para Todos-Perú,Lima,Lima,San Martin De Porres,Ambrosio Espinoza  Yoel,Educacion/Mujer y Desarrollo Social/Salud/
683,Un Nuevo Amanecer,Lima,Lima,Los Olivos,Ruiz Chumpitaz  Maria Victoria,Mujer y Poblaciones Vulnerables/Salud/
684,Un Talento con Esperanza,Lima,Lima,Chorrillos,Urbina Urquizo  Virginia Ines,Mujer y Poblaciones Vulnerables/Presidencia del Consejo de Ministros/
685,Union Biblica del Perú,Lima,Lima,Lima,Lucen Hashimoto  Juan Andres,Educación/Salud/
686,Unión de Obras de Asistencia Social,Lima,Lima,Miraflores,Persivale De Stenning  Rosana Maria,Educación/Mujer y Desarrollo Social/Salud/
687,Union Peruana de los Adventistas del Septimo Día Movimiento de Reforma                                                  ,Lima,Lima,Breña,Rodriguez Cabañas  Manuel Jesus,Educacion/Mujer y Desarrollo Social/Salud/
688,United Way Peru,Lima,Lima,Miraflores,Leverone Muñoz  Alessandra Rosalina,Mujer y Desarrollo Social/
,,,,,Mellet Bisetti  Jeanine Giselle,
689,Urpi-Wasi,Cusco,Cusco,Santiago,Casanova Mirer  Barbara Christine,Mujer y Desarrollo Social/PCM/
690,Vida Integral con Dignidad,Lima,Lima,Lima,Valdivia Safra  Luis Arturo,Educación/Mujer y Desarrollo Social/Salud/
691,Vida y Familia,Arequipa,Arequipa,Arequipa,Muñoz-Najar Friedrich  Alberto Carlos,Educación/Salud/Ambiente/
692,Villa Corazón de Buda,Lima,Lima,Cieneguilla,Meng Yu  James Chie,Educación/
693,Visión Acción con Futuro,Loreto,Maynas,Iquitos,Pereyra Navarro De Sibina  Laura Isabel,Educación/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Otros/
694,Visión Suiza Alemana,Lima,Lima,Miraflores,Bosshard  Tobias,Educación/Mujer y Desarrollo Social/
,,,,,Martin Stump  Christian,
695,Waves For Development Peru,Lima,Lima,Miraflores,Amico Tudela  Daniela,Educación/
696,Westfalia Kinderdorf Asociacion Peruana                                                                                 ,Lima,Lima,Santiago De Surco,Schrader Schmidt  Liselotte,Educación/Mujer y Desarrollo Social/
697,World Vision International                                                                                              ,Lima,Lima,Jesus María,Castro Aguilar  Yvan,Agricultura/Educacion/Mujer y Desarrollo Social/PCM/
698,World Vision Peru,Lima,Lima,Jesus María,Castro Aguilar  Yvan,Mujer y Desarrollo Social/
699,Yachayhuasi Andina,Arequipa,Castilla,Aplao,Paredes Tirado  Adolfo Domidel,Mujer y Desarrollo Social/PCM/
